,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
484,Toscano,Traditional Butter Waffles 4 pack,5.5,5.5,360,360,Merrylands,360,g,7.5,,,,,https://www.coles.com.au/product/toscano-traditional-butter-waffles-4-pack-360g-8995056
485,Toscano,Waffles,5.5,5.5,360,360,East Village,360,g,7.5,,1,Toscano,Traditional Butter Waffles 4 pack,https://www.coles.com.au/product/toscano-traditional-butter-waffles-4-pack-360g-8995056
486,Toscano,Waffles,5.5,5.5,360,360,Merrylands,360,g,7.5,,1,Toscano,Traditional Butter Waffles 4 pack,https://www.coles.com.au/product/toscano-traditional-butter-waffles-4-pack-360g-8995056
487,Uncle Toby's,Natural Style muesli,7.5,7.5,1000,1000,East Village,1000,g,9,6.5,,,,https://www.coles.com.au/product/uncle-tobys-natural-style-muesli-1kg-132748
488,Uncle Toby's,Natural Style muesli,7.5,7.5,1000,1000,Merrylands,1000,g,9,6.5,,,,https://www.coles.com.au/product/uncle-tobys-natural-style-muesli-1kg-132748
489,Uncle Tobys,Oats Quick Sachets Creamy Honey Porridge,6,6,420,420,East Village,350,g,3.15,,1,Uncle Tobys,Uncle Tobys Oats Quick Sachets Creamy Honey,https://www.coles.com.au/product/uncle-tobys-oats-quick-sachets-creamy-honey-350g-3992629
490,Uncle Tobys,Oats Quick Sachets Creamy Honey Porridge,6,6,420,420,Merrylands,350,g,6.3,3.15,1,Uncle Tobys,Oats Quick Sachets Creamy Honey,https://www.coles.com.au/product/uncle-tobys-oats-quick-sachets-creamy-honey-350g-3992629
491,Verity,Prunes Large,6,6,750,750,East Village,750,g,6.7,,1,Verity,Dried Fancy Large Prunes,https://www.coles.com.au/product/verity-dried-fancy-large-prunes-750g-326438
492,Verity,Prunes Large,6,6,750,750,Merrylands,750,g,6.7,,1,Verity,Verity Dried Fancy Large Prunes,https://www.coles.com.au/product/verity-dried-fancy-large-prunes-750g-326438
493,Vogels,Classic Golden Baked Cluster Crunch,6.8,6.8,500,500,East Village,,,,,,,,
494,Vogels,Classic Golden Baked Cluster Crunch,6.8,6.8,500,500,Merrylands,,,,,,,,
495,Western star,Unsalted Butter,4,4,250,250,East Village,250,g,5.2,,,,,https://www.coles.com.au/product/western-star-unsalted-butter-250g-7739731
496,Western star,Unsalted Butter,4,4,250,250,Merrylands,250,g,5.2,,,,,https://www.coles.com.au/product/western-star-unsalted-butter-250g-7739731
497,Yoplait,Forme Zero French Vanilla Yoghurt,4,4,1000,1000,East Village,1000,g,5.5,,1,Yoplait,Zero French Vanilla Yoghurt,https://www.coles.com.au/product/yoplait-zero-french-vanilla-yoghurt-1kg-9058101
498,Yoplait,Forme Zero French Vanilla Yoghurt,4,4,1000,1000,Merrylands,1000,g,5.5,,1,Yoplait,Zero French Vanilla Yoghurt,https://www.coles.com.au/product/yoplait-zero-french-vanilla-yoghurt-1kg-9058101
499,Yoplait,Mango yoghurt,4,4,1000,1000,East Village,1000,g,5.5,,,,,https://www.coles.com.au/product/yoplait-mango-yoghurt-1kg-5892512
500,Yoplait,Mango yoghurt,4,4,1000,1000,Merrylands,1000,g,5.5,,,,,https://www.coles.com.au/product/yoplait-mango-yoghurt-1kg-5892512
501,Yoplait,Mango Yoghurt,4,4,1000,1000,East Village,1000,g,5.5,,,,,https://www.coles.com.au/product/yoplait-mango-yoghurt-1kg-5892512
502,Yoplait,Mango Yoghurt,4,4,1000,1000,Merrylands,1000,g,5.5,,,,,https://www.coles.com.au/product/yoplait-mango-yoghurt-1kg-5892512
503,Yumi's,Traditional Garlic Dip,7,7,1000,1000,East Village,310,g,6.5,,1,Pilpel,Dip Garlic,https://www.coles.com.au/product/pilpel-dip-garlic-310g-6132525
504,Yumi's,Traditional Garlic Dip,7,7,1000,1000,Merrylands,310,g,6.5,,1,Pilpel,Dip Garlic,https://www.coles.com.au/product/pilpel-dip-garlic-310g-6132525
