,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,price,special_price,substitution,substitute_brand,substitute_productname
429,Woolworths,Soy Milk,1.15,1.15,1000,1000,Auburn,1000,1.15,,,,
430,Woolworths,Soy Milk,1.15,1.15,1000,1000,Burwood,1000,1.15,,,,
431,Woolworths,Strawberry flavoured milk,3.85,3.85,2000,2000,Auburn,1200,5,,1,Woolworths,Strawberry Milk 6x200ml
432,Woolworths,Strawberry flavoured milk,3.85,3.85,2000,2000,Burwood,1200,5,,,,
433,Woolworths,Sultanas,5,5,1000,1000,Auburn,1000,5,,,,
434,Woolworths,Sultanas,5,5,1000,1000,Burwood,1000,5,,,,
435,Woolworths,Sunflower Oil,2.5,2.5,750,750,Auburn,750,3.95,,,,
436,Woolworths,Sunflower Oil,2.5,2.5,750,750,Burwood,750,3.95,,,,
437,Woolworths,Sweet potato and potato salad,5,5,400,400,Auburn,NA,NA,,,,
438,Woolworths,Sweet potato and potato salad,5,5,400,400,Burwood,NA,NA,,,,
439,Woolworths,Tasty Cheese Block,8.8,8.8,1000,1000,Auburn,1000,13.9,,,,
440,Woolworths,Tasty Cheese Block,8.8,8.8,1000,1000,Burwood,1000,13.9,,,,
441,Woolworths,Thickened Cream,3,3,600,600,Auburn,600,4.5,,,,
442,Woolworths,Thickened Cream,3,3,600,600,Burwood,600,4.5,,,,
443,Woolworths,Traditional Cracker,0.97,0.97,250,250,Auburn,250,0.95,,,,
444,Woolworths,Traditional Cracker,0.97,0.97,250,250,Burwood,250,0.95,,,,
445,Woolworths,Vanilla Yoghurt 98% Fat Free,3.45,3.45,1000,1000,Auburn,1000,4,,,,
446,Woolworths,Vanilla Yoghurt 98% Fat Free,3.45,3.45,1000,1000,Burwood,1000,4,,,,
447,Woolworths,Vegetable Oil,2.5,2.5,750,750,Auburn,750,3.95,,,,
448,Woolworths,Vegetable Oil,2.5,2.5,750,750,Burwood,750,3.95,,,,
449,Woolworths,White hi-fibre low GI loaf,3,3,680,680,Auburn,680,3.7,,,,
450,Woolworths,White hi-fibre low GI loaf,3,3,680,680,Burwood,NA,NA,,,,
451,Woolworths,White Rice Long Grain,1.4,1.4,1000,1000,Auburn,1000,1.8,,,,
452,Woolworths,White Rice Long Grain,1.4,1.4,1000,1000,Burwood,1000,1.8,,,,
453,Woolworths,White Soft Hi-fibre bread,2.3,2.3,700,700,Auburn,700,3.5,,,,
454,Woolworths,White Soft Hi-fibre bread,2.3,2.3,700,700,Burwood,700,3.5,,,,
455,Woolworths,White Soft Sandwich Bread,1.6,1.6,650,650,Auburn,650,2.7,,,,
456,Woolworths,White Soft Sandwich Bread,1.6,1.6,650,650,Burwood,650,2.7,,,,
457,Woolworths,White washed potatoes,7,7,2000,2000,Auburn,1000,3.8,,,,
458,Woolworths,White washed potatoes,7,7,2000,2000,Burwood,1000,3.8,,,,
459,Woolworths,Wholemeal sandwich high fibre bread,2.3,2.3,700,700,Auburn,700,3.5,,,,
460,Woolworths,Wholemeal sandwich high fibre bread,2.3,2.3,700,700,Burwood,700,3.5,,,,
461,Woolworths,Wholemeal soft sandwich bread,1.6,1.6,650,650,Auburn,650,2.7,,,,
462,Woolworths,Wholemeal soft sandwich bread,1.6,1.6,650,650,Burwood,650,2.7,,,,
463,Woolworths,Woolworths Rocket,2.5,2.5,120,120,Auburn,120,3.3,,,,
464,Woolworths,Woolworths Rocket,2.5,2.5,120,120,Burwood,120,3.3,,,,
465,Woolworths,Woolworths Spread Olive Oil,2,2,500,500,Auburn,500,3.8,,,,
466,Woolworths,Woolworths Spread Olive Oil,2,2,500,500,Burwood,500,3.8,,,,
467,Yoplait,Forme Zero French Vanilla Yoghurt,4,4,1000,1000,Auburn,1000,4.9,,,,
468,Yoplait,Forme Zero French Vanilla Yoghurt,4,4,1000,1000,Burwood,1000,4.9,,,,
469,Yoplait,Mango yoghurt,4,4,1000,1000,Auburn,1000,4.9,,,,
470,Yoplait,Mango yoghurt,4,4,1000,1000,Burwood,1000,4.9,,,,
471,Yoplait,Mango Yoghurt,4,4,1000,1000,Auburn,1000,4.9,,,,
472,Yoplait,Mango Yoghurt,4,4,1000,1000,Burwood,1000,4.9,,,,
473,Yumi's,Traditional Garlic Dip,7,7,1000,1000,Auburn,200,4.5,,,,
474,Yumi's,Traditional Garlic Dip,7,7,1000,1000,Burwood,200,4.5,,,,
